time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nRevisalRuns,Cleaning:nToBeCleanedLNsProcessed,Cleaning:nTwoPassRuns,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,Environment:nBinDeltaDelete,Environment:nBinDeltaGet,Environment:nBinDeltaInsert,Environment:nBinDeltaUpdate,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncMaxTime,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:G1 Old Generation.count,Jvm:G1 Old Generation.time,Jvm:G1 Young Generation.count,Jvm:G1 Young Generation.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate
2022-11-16 15:08:58.911 UTC, ,125,3159725,952,13872, , ,3, ,6, , , , , , , , , ,3,3, , , , ,1,5, , , , , , , , , , , , , , , , ,1218,1,573,573,1, ,2,4,1266,1276428681216,-1,-1, , , , , ,1,12, , , , , , , , , , , , , , , , , , , , , , , , , ,1266, ,1668611338869, , , , ,3145728,1218, , , ,1,4,4,4,3,4, , ,3,5, , , , , , , ,38,1, , ,12288,3,1228,4, , , , , , ,15,40,50620160,1, , , , , , ,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022-11-16 15:09:58.916 UTC, ,125,3173597,1184,27632,112, ,4, ,128, , , , , , , , , ,4,4, , , , ,1,6, , , , , , , , , , , , , , , , ,1218,1,573,573, , , , ,10972,1276300034048,66,66, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,10972, ,1668611338869, , , , ,3145728,10945, , , ,1,27,21,27,2,27, , ,3,28, , , , , , , , , , , ,4096,2,9706,27, , , , , , ,17,45,62036992,1, , , , , , ,129, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,51, , ,25,26,25, , , , , , 
2022-11-16 15:10:58.921 UTC, ,125,3173597,1184,27632,112, ,4, , , , , , , , , , , ,4,4, , , , ,1,6, , , , , , , , , , , , , , , , ,1218,1,573,573, , , , ,10972,1276057550848,66,66, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,10972, ,1668611338869, , , , ,3145728,10945, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,65182720, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022-11-16 15:11:58.927 UTC, ,125,3173597,1184,27632,112, ,4, , , , , , , , , , , ,4,4, , , , ,1,6, , , , , , , , , , , , , , , , ,1218,1,573,573, , , , ,10972,1275942928384,66,66, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,10972, ,1668611338869, , , , ,3145728,10945, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,69377024, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022-11-16 15:12:58.931 UTC, ,125,3173597,1184,27632,112, ,4, , , , , , , , , , , ,4,4, , , , ,1,6, , , , , , , , , , , , , , , , ,1218,1,573,573, , , , ,10972,1275778891776,66,66, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,10972, ,1668611338869, , , , ,3145728,10945, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,73571328, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022-11-16 15:13:58.936 UTC, ,125,3173597,1184,27632,112, ,4, , , , , , , , , , , ,4,4, , , , ,1,6, , , , , , , , , , , , , , , , ,1218,1,573,573, , , , ,10972,1275566817280,66,66, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,10972, ,1668611338869, , , , ,3145728,10945, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,76717056, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022-11-16 15:14:58.942 UTC, ,125,3173597,1184,27632,112, ,4, , , , , , , , , , , ,4,4, , , , ,1,6, , , , , , , , , , , , , , , , ,1218,1,573,573, , , , ,10972,1275396423680,66,66, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,10972, ,1668611338869, , , , ,3145728,10945, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,79862784, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022-11-16 15:15:58.946 UTC, ,125,3173597,1184,27632,112, ,4, , , , , , , , , , , ,4,4, , , , ,1,6, , , , , , , , , , , , , , , , ,1218,1,573,573, , , , ,10972,1275146862592,66,66, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,10972, ,1668611338869, , , , ,3145728,10945, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,85105664, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022-11-16 15:16:58.950 UTC, ,125,3173597,1184,27632,112, ,4, , , , , , , , , , , ,4,4, , , , ,1,6, , , , , , , , , , , , , , , , ,1218,1,573,573, , , , ,10972,1274842185728,66,66, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,10972, ,1668611338869, , , , ,3145728,10945, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,89299968, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022-11-16 15:17:58.954 UTC, ,125,3173597,1184,27632,112, ,4, , , , , , , , , , , ,4,4, , , , ,1,6, , , , , , , , , , , , , , , , ,1218,1,573,573, , , , ,10972,1274605404160,66,66, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,10972, ,1668611338869, , , , ,3145728,10945, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,92445696, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
