time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nRevisalRuns,Cleaning:nToBeCleanedLNsProcessed,Cleaning:nTwoPassRuns,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,Environment:nBinDeltaDelete,Environment:nBinDeltaGet,Environment:nBinDeltaInsert,Environment:nBinDeltaUpdate,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncMaxTime,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:G1 Old Generation.count,Jvm:G1 Old Generation.time,Jvm:G1 Young Generation.count,Jvm:G1 Young Generation.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate
2022-10-25 06:46:11.830 UTC, ,125,3159725,952,13872, , ,3, ,7, , , , , , , , , ,3,3, , , , ,1,5, , , , , , , , , , , , , , , , ,1218,1,573,573,1, ,2,4,1266,1441559805952,-1,-1, , , , , ,1,12, , , , , , , , , , , , , , , , , , , , , , , , , ,1266, ,1666680371784, , , , ,3145728,1218, , , ,1,4,4,4,3,4, , ,3,5, , , , , , , ,38,1, , ,12288,3,1228,4, , , , , , ,82,164,51108848, , , , , , , ,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022-10-25 06:47:11.835 UTC, ,125,3173597,1184,27632,112, ,4, ,127, , , , , , , , , ,4,4, , , , ,1,6, , , , , , , , , , , , , , , , ,1218,1,573,573, , , , ,10972,1441237041152,66,66, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,10972, ,1666680371784, , , , ,3145728,10945, , , ,1,27,23,27,2,27, , ,3,28, , , , , , , , , , , ,4096,2,9706,27, , , , , , ,88,147,140282360, , , , , , , ,129, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,51, , ,25,26,25, , , , , , 
2022-10-25 06:48:11.840 UTC, ,125,3173597,1184,27632,112, ,4, , , , , , , , , , , ,4,4, , , , ,1,6, , , , , , , , , , , , , , , , ,1218,1,573,573, , , , ,10972,1440889700352,66,66, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,10972, ,1666680371784, , , , ,3145728,10945, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,145525240, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022-10-25 06:49:11.846 UTC, ,125,3173597,1184,27632,112, ,4, , , , , , , , , , , ,4,4, , , , ,1,6, , , , , , , , , , , , , , , , ,1218,1,573,573, , , , ,10972,1446622003200,66,66, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,10972, ,1666680371784, , , , ,3145728,10945, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,148670968, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022-10-25 06:50:11.851 UTC, ,125,3173597,1184,27632,112, ,4, , , , , , , , , , , ,4,4, , , , ,1,6, , , , , , , , , , , , , , , , ,1218,1,573,573, , , , ,10972,1446313197568,66,66, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,10972, ,1666680371784, , , , ,3145728,10945, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,152865272, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022-10-25 06:51:11.857 UTC, ,125,3173597,1184,27632,112, ,4, , , , , , , , , , , ,4,4, , , , ,1,6, , , , , , , , , , , , , , , , ,1218,1,573,573, , , , ,10972,1446038536192,66,66, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,10972, ,1666680371784, , , , ,3145728,10945, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,157059576, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022-10-25 06:52:11.863 UTC, ,125,3173597,1184,27632,112, ,4, , , , , , , , , , , ,4,4, , , , ,1,6, , , , , , , , , , , , , , , , ,1218,1,573,573, , , , ,10972,1445646630912,66,66, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,10972, ,1666680371784, , , , ,3145728,10945, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,167545336, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022-10-25 06:53:11.869 UTC, ,125,3173597,1184,27632,112, ,4, , , , , , , , , , , ,4,4, , , , ,1,6, , , , , , , , , , , , , , , , ,1218,1,573,573, , , , ,10972,1445239914496,66,66, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,10972, ,1666680371784, , , , ,3145728,10945, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,171739640, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022-10-25 06:54:11.873 UTC, ,125,3173597,1184,27632,112, ,4, , , , , , , , , , , ,4,4, , , , ,1,6, , , , , , , , , , , , , , , , ,1218,1,573,573, , , , ,10972,1444895653888,66,66, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,10972, ,1666680371784, , , , ,3145728,10945, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,175933944, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022-10-25 06:55:11.878 UTC, ,125,3173597,1184,27632,112, ,4, , , , , , , , , , , ,4,4, , , , ,1,6, , , , , , , , , , , , , , , , ,1218,1,573,573, , , , ,10972,1444582064128,66,66, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,10972, ,1666680371784, , , , ,3145728,10945, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,181176824, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
