time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nRevisalRuns,Cleaning:nToBeCleanedLNsProcessed,Cleaning:nTwoPassRuns,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,Environment:nBinDeltaDelete,Environment:nBinDeltaGet,Environment:nBinDeltaInsert,Environment:nBinDeltaUpdate,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncMaxTime,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:G1 Old Generation.count,Jvm:G1 Old Generation.time,Jvm:G1 Young Generation.count,Jvm:G1 Young Generation.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate
2022-10-25 06:46:11.874 UTC, ,125,3161029,1080,15040,136, ,3, ,9, , , , , , , , , ,3,3, , , , ,1,5, , , , , , , , , , , , , , , , ,1218,1,573,573,1, ,2,4,1266,1441556791296,-1,-1, , , , , ,1,12, , , , , , , , , , , , , , , , , , , , , , , , , ,1266, ,1666680371831, , , , ,3145728,1218, , , ,1,4,2,4,3,4, , ,3,5, , , , , , , ,38,1, , ,12288,3,1228,4, , , , , , ,82,164,60546032, , , , , , , ,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022-10-25 06:47:11.877 UTC, ,589,3278757,3752,131544,896, ,9, ,3605, , , , , , , , , ,9,9, , , , ,1,11, ,3455, , , , , , , , , , , , , , ,1218,1,573,573, , , , ,106367,1441236647936,72,72, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,106367, ,1666680371831, , , , ,3145728,106176, , , ,1,99,84,99,2,99, , ,3,102, , , , , , , , , , , ,4096,2,105101,100, , , , , , ,88,147,140282360, , , , , , , ,3820, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,29, ,183, ,226,3112,258,1, , , , , , 
2022-10-25 06:48:11.883 UTC, ,589,3278757,3752,131544,896, ,9, , , , , , , , , , , ,9,9, , , , ,1,11, , , , , , , , , , , , , , , , ,1218,1,573,573, , , , ,106367,1440886358016,72,72, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,106367, ,1666680371831, , , , ,3145728,106176, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,145525240, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022-10-25 06:49:11.887 UTC, ,589,3278757,3752,131544,896, ,9, , , , , , , , , , , ,9,9, , , , ,1,11, , , , , , , , , , , , , , , , ,1218,1,573,573, , , , ,106367,1446621937664,72,72, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,106367, ,1666680371831, , , , ,3145728,106176, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,148670968, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022-10-25 06:50:11.892 UTC, ,589,3278757,3752,131544,896, ,9, , , , , , , , , , , ,9,9, , , , ,1,11, , , , , , , , , , , , , , , , ,1218,1,573,573, , , , ,106367,1446313132032,72,72, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,106367, ,1666680371831, , , , ,3145728,106176, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,153913848, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022-10-25 06:51:11.896 UTC, ,589,3278757,3752,131544,896, ,9, , , , , , , , , , , ,9,9, , , , ,1,11, , , , , , , , , , , , , , , , ,1218,1,573,573, , , , ,106367,1446038339584,72,72, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,106367, ,1666680371831, , , , ,3145728,106176, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,157059576, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022-10-25 06:52:11.900 UTC, ,589,3278757,3752,131544,896, ,9, ,8, , , , , , , , , ,9,9, , , , ,1,11, ,8, , , , , , , , , , , , , , ,1218,1,573,573, , , , ,106367,1445645910016,72,72, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,106367, ,1666680371831, , , , ,3145728,106176, , , , , , , , , , , ,3,1, , , , , , , , , , , , , , , , , , , , , , , ,167545336, , , , , , , ,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,2, , , , , , , 
2022-10-25 06:53:11.905 UTC, ,589,3278757,3752,131544,896, ,9, , , , , , , , , , , ,9,9, , , , ,1,11, , , , , , , , , , , , , , , , ,1218,1,573,573, , , , ,106367,1445239652352,72,72, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,106367, ,1666680371831, , , , ,3145728,106176, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,172788216, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022-10-25 06:54:11.909 UTC, ,589,3278757,3752,131544,896, ,9, , , , , , , , , , , ,9,9, , , , ,1,11, , , , , , , , , , , , , , , , ,1218,1,573,573, , , , ,106367,1444894867456,72,72, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,106367, ,1666680371831, , , , ,3145728,106176, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,175933944, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022-10-25 06:55:11.914 UTC, ,589,3278757,3752,131544,896, ,9, , , , , , , , , , , ,9,9, , , , ,1,11, , , , , , , , , , , , , , , , ,1218,1,573,573, , , , ,106367,1444582064128,72,72, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,106367, ,1666680371831, , , , ,3145728,106176, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,181176824, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
