ANNÉE;EDITION RENCONTRES TRANS MUSICALES ;ARTISTES;NOM SPECTACLE OU SOIRÉE;1ER PROJET ATM;1ERE DATE;1ERE SALLE;1ERE VILLE;2EME PROJET;2EME DATE;2EME SALLE;2EME VILLE;3EME PROJET;3EME DATE;3EME SALLE;3EME VILLE;4EME PROJET;4EME DATE;4EME SALLE;4EME VILLE;5EME PROJET;5EME DATE;5EME SALLE;5EME VILLE;6EME PROJET;6EME DATE;6EME SALLE;6EME VILLE;ORIGINES PAYS 1;ORIGINES PAYS 2;ORIGINES PAYS 3;ORIGINES PAYS 4;ORIGINES VILLE 1;ORIGINES VILLE 2;ORIGINES VILLE 3;ORIGINES VILLE 4;ANNEE  DE FORMATION;1ère SORTIE DISCOGRAPHIQUE
2008;30èmes Rencontres Trans Musicales de Rennes;Leon Jean Marie;;;2008-12-06;La Cité;Rennes;;;;;;;;;;;;;;;;;;;;;Royaume-Uni;;;;Londres;;;;2006;2007.0
2008;30èmes Rencontres Trans Musicales de Rennes;Metal On Metal;;;2008-12-06;Parc des Expositions - Hall 9;Bruz;;;;;;;;;;;;;;;;;;;;;Lituanie;;;;Vilnius;;;;2005;2007.0
2008;30èmes Rencontres Trans Musicales de Rennes;Sebastian;;;2008-12-05;Parc des Expositions - Hall 9;Bruz;;;;;;;;;;;;;;;;;;;;;France;;;;;;;;2004;2005.0
2008;30èmes Rencontres Trans Musicales de Rennes;The Count and Sinden Soundsystem;;;2008-12-06;Parc des Expositions - Hall 4;Bruz;;;;;;;;;;;;;;;;;;;;;Royaume-Uni;;;;Londres;;;;2008;2008.0
2007;29èmes Rencontres Trans Musicales de Rennes;Ipso Facto;;;2007-12-06;Parc des Expositions - Hall 3;Bruz;;;;;;;;;;;;;;;;;;;;;Royaume-Uni;;;;Londres;;;;;2007.0
2007;29èmes Rencontres Trans Musicales de Rennes;I Was There;;;2007-12-06;Parc des Expositions - Hall 4;Bruz;;;;;;;;;;;;;;;;;;;;;France;;;;Paris;;;;2005;
2007;29èmes Rencontres Trans Musicales de Rennes;The View;;;2007-12-06;Parc des Expositions - Hall 4;Bruz;;;;;;;;;;;;;;;;;;;;;Royaume-Uni;;;;Dryburgh;;;;2005;2006.0
2006;28èmes Rencontres Trans Musicales de Rennes;Razorlight;;;2006-12-07;Parc des Expositions - Hall 9;Bruz;;;;;;;;;;;;;;;;;;;;;Royaume-Uni;;;;Londres;;;;2002;2003.0
2006;28èmes Rencontres Trans Musicales de Rennes;Stuurbaard Bakkebaard;;;2006-12-07;Parc des Expositions - Hall 3;Bruz;;;;;;;;;;;;;;;;;;;;;Pays-Bas;;;;Eindhoven;;;;1996;2001.0
2005;27èmes Rencontres Trans Musicales de Rennes;Hip-J;;;2005-12-10;Parc des Expositions - Hall 9;Bruz;;;;;;;;;;;;;;;;;;;;;France;;;;Rennes;;;;1998;2006.0
2005;27èmes Rencontres Trans Musicales de Rennes;Olli & The Bollywood Orchestra feat. DJ Swami, Amar, Supreet Suri;;;2005-12-08;Parc des Expositions - Hall 5;Bruz;;;;;;;;;;;;;;;;;;;;;France;;;;;;;;2003;2005.0
2005;Trans en Chine;Digicay;;Les Trans à l'Export;2005-06-18;Chaoyang Park;Pékin;;2005-06-18;Lounge du Tango;Pékin;;2005-06-19;Hall du Tango;Pékin;;;;;;;;;;;;;France;;;;Rennes;;;;;2001.0
2004;26èmes Rencontres Trans Musicales de Rennes;Pat Panik meets Netik;;;2004-12-04;Parc des Expositions - Hall 9;Bruz;;;;;;;;;;;;;;;;;;;;;France;;;;Rennes;;;;;2004.0
2004;26èmes Rencontres Trans Musicales de Rennes;Teddybears STHML;;;2004-12-04;Parc des Expositions - Hall 4;Bruz;;;;;;;;;;;;;;;;;;;;;Suède;;;;Stockholm;;;;1991;1993.0
2003;25èmes Rencontres Trans Musicales de Rennes;Moller Plesset;;Tournée des Trans;2003-11-20;Salle du CLOUS;Brest;Tournée des Trans;2003-11-26;Ubu;Rennes;;2003-12-05;Village;Rennes;;;;;;;;;;;;;France;;;;Rennes;;;;1996;2003.0
2003;25èmes Rencontres Trans Musicales de Rennes;Sitronapoo;;Tournée des Trans;2003-11-26;Ubu;Rennes;Tournée des Trans;2003-11-29;Run Ar Puns;Châteaulin;;2003-12-06;Village;Rennes;;;;;;;;;;;;;France;;;;Saint-Brieuc;;;;2000;2002.0
2002;24èmes Rencontres Trans Musicales de Rennes;Dgiz;;;2002-12-06;Village;Rennes;;;;;;;;;;;;;;;;;;;;;France;;;;Paris;;;;2001;2001.0
2002;24èmes Rencontres Trans Musicales de Rennes;Earl Zinger;;;2002-12-07;Liberté Bas;Rennes;;;;;;;;;;;;;;;;;;;;;Royaume-Uni;;;;Londres;;;;;2000 (1987 avec Galliano)
2002;24èmes Rencontres Trans Musicales de Rennes;El Diablo;;;2002-12-05;La Cité;Rennes;;;;;;;;;;;;;;;;;;;;;France;;;;Réunion;;;;;2001.0
